sub,electrode,values
IR9,RHD2-RHD3,0
IR9,RHD3-RHD4,0
IR9,RHD4-RHD5,0
IR9,RHD5-RHD6,0
IR9,RHD6-RHD7,0
IR9,RHD7-RHD8,0
IR9,RHD8-RHD9,0
IR9,RHD9-RHD10,0
IR9,RTHD1-RTHD2,0
IR9,RTHD2-RTHD3,0
IR9,RTHD3-RTHD4,0
IR9,RTHD4-RTHD5,0
IR9,RTHD5-RTHD6,0
IR9,RTHD6-RTHD7,0
IR9,RTHD7-RTHD8,0
IR9,RTHD8-RTHD9,0
IR9,RTHD9-RTHD10,0
IR9,RAD1-RAD2,0
IR9,RAD2-RAD3,0
IR9,RAD3-RAD4,0
IR9,RAD4-RAD5,0
IR9,RAD5-RAD6,0
IR9,RAD6-RAD7,0
IR9,RAD7-RAD8,0
IR9,RAD8-RAD9,0
IR9,RAD9-RAD10,0
IR9,RCD1-RCD2,0
IR9,RCD2-RCD3,0
IR9,RCD3-RCD4,0
IR9,RCD4-RCD5,0
IR9,RCD5-RCD6,0
IR9,RCD6-RCD7,0
IR9,RCD7-RCD8,0
IR9,RCD8-RCD9,0
IR9,RCD9-RCD10,0
IR9,RCD10-RCD11,0
IR9,RCD11-RCD12,0
IR9,ROF1-ROF2,0
IR9,ROF2-ROF3,0
IR9,ROF3-ROF4,0
IR9,ROF4-ROF5,0
IR9,ROF5-ROF6,0
IR9,ROF6-ROF7,0
IR9,ROF7-ROF8,0
IR9,ROF8-ROF9,0
IR9,ROF9-ROF10,0
IR9,ROF10-ROF11,0
IR9,ROF11-ROF12,0
IR9,LAD1-LAD2,0
IR9,LAD2-LAD3,0
IR9,LAD3-LAD4,0
IR9,LAD4-LAD5,0
IR9,LAD5-LAD6,0
IR9,LAD6-LAD7,0
IR9,LAD7-LAD8,0
IR9,LAD8-LAD9,0
IR9,LAD9-LAD10,0
IR9,LHD1-LHD2,0
IR9,LHD2-LHD3,0
IR9,LHD3-LHD4,0
IR9,LHD4-LHD5,0
IR9,LHD5-LHD6,0
IR9,LHD6-LHD7,0
IR9,LHD7-LHD8,0
IR9,LHD8-LHD9,0
IR9,LHD9-LHD10,0
IR9,LTHD1-LTHD2,0
IR9,LTHD2-LTHD3,0
IR9,LTHD3-LTHD4,0
IR9,LTHD4-LTHD5,0
IR9,LTHD5-LTHD6,0
IR9,LTHD6-LTHD7,0
IR9,LTHD7-LTHD8,0
IR9,LTHD8-LTHD9,0
IR9,LTHD9-LTHD10,0
IR10,RLD5-RLD6,0
IR10,RLD6-RLD7,0
IR10,RLD7-RLD8,0
IR10,RLD8-RLD9,0
IR10,RLD9-RLD10,0
IR10,ROF1-ROF2,2
IR10,ROF2-ROF3,0
IR10,ROF3-ROF4,0
IR10,RAC4-RAC5,2
IR10,RAC5-RAC6,2
IR10,RAC6-RAC7,2
IR10,RAC7-RAC8,2
IR10,RAC8-RAC9,2
IR10,RAC9-RAC10,0
IR10,RAC10-RAC11,0
IR10,RAC11-RAC12,0
IR10,ROF5-ROF6,0
IR10,ROF6-ROF7,0
IR10,ROF7-ROF8,0
IR10,RC2-RC3,0
IR10,RC3-RC4,0
IR10,RC4-RC5,0
IR10,RC5-RC6,0
IR10,RC6-RC7,0
IR10,RC7-RC8,0
IR10,RC8-RC9,0
IR10,RC9-RC10,0
IR10,RC10-RC11,0
IR10,RC11-RC12,0
IR10,RAD3-RAD4,0
IR10,RPC7-RPC8,0
IR10,RPC8-RPC9,0
IR10,RPC9-RPC10,0
IR10,RPC10-RPC11,0
IR10,RPC11-RPC12,0
IR10,RAD5-RAD6,0
IR10,RAD6-RAD7,0
IR10,RAD7-RAD8,0
IR10,LAC4-LAC5,2
IR10,LAC5-LAC6,2
IR10,LAC6-LAC7,0
IR10,LAC7-LAC8,0
IR10,LAC8-LAC9,0
IR10,LAC9-LAC10,0
IR10,LAC10-LAC11,0
IR10,LAC11-LAC12,0
IR10,LOF3-LOF4,0
IR10,LOF4-LOF5,0
IR10,LOF5-LOF6,0
IR10,LOF6-LOF7,0
IR10,LOF7-LOF8,0
IR10,LOF8-LOF9,0
IR10,LOF9-LOF10,0
IR10,LOF10-LOF11,0
IR10,LOF11-LOF12,0
IR10,LPC4-LPC5,0
IR10,LPC5-LPC6,0
IR10,LPC6-LPC7,0
IR10,LPC7-LPC8,0
IR10,LPC8-LPC9,0
IR10,LPC9-LPC10,0
IR10,LPC10-LPC11,0
IR10,LPC11-LPC12,0
IR10,LAD2-LAD3,0
IR10,LAD3-LAD4,0
IR10,LAD4-LAD5,0
IR10,LAD5-LAD6,0
IR10,LAD6-LAD7,0
IR10,LAD7-LAD8,0
IR10,LHD1-LHD2,0
IR10,LHD2-LHD3,0
IR10,LHD3-LHD4,0
IR10,LHD4-LHD5,0
IR10,LHD5-LHD6,0
IR10,LHD6-LHD7,0
IR10,LHD7-LHD8,0
IR16,LAM4-LAM5,0
IR16,LAM5-LAM6,0
IR16,LAM6-LAM7,0
IR16,LHH3-LHH4,0
IR16,LHH4-LHH5,0
IR16,LHH5-LHH6,0
IR16,LHH6-LHH7,0
IR16,LTH1-LTH2,0
IR16,LTH2-LTH3,0
IR16,LTH3-LTH4,0
IR16,LTH4-LTH5,0
IR16,LTH5-LTH6,0
IR16,LTH6-LTH7,0
IR16,LIN1-LIN2,0
IR16,LIN2-LIN3,0
IR16,LIN3-LIN4,0
IR16,LIN4-LIN5,0
IR16,LIN5-LIN6,0
IR16,LIN6-LIN7,3
IR16,LIN7-LIN8,3
IR16,LIN8-LIN9,3
IR16,LOF1-LOF2,0
IR16,LOF2-LOF3,0
IR16,LOF3-LOF4,0
IR16,LOF4-LOF5,0
IR16,LOF5-LOF6,3
IR16,LOF6-LOF7,3
IR16,LOF7-LOF8,3
IR16,LCI1-LCI2,0
IR16,LCI2-LCI3,0
IR16,LCI3-LCI4,3
IR16,LCI4-LCI5,3
IR16,LSM1-LSM2,0
IR16,LSM2-LSM3,0
IR16,LSM3-LSM4,0
IR16,LSM4-LSM5,3
IR16,LSM5-LSM6,3
IR16,RAM4-RAM5,0
